Nº,Fecha,Día,Semana plan,Mes,Pilar,Tema del día,Formato,Guion/Estructura adaptada,Caption,Hashtags,CTA,Estado
144,2026-11-26,Jueves,21,Noviembre,Storytelling,"Experiencia propia — A veces el error no está en el trabajo, sino en la estrategia",Reel,"Gancho (0-2s): ""A veces el error no está en el trabajo, sino en la estrategia"". Desarrollo (3-15s): Explica cómo experiencia propia afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","A veces el error no está en el trabajo, sino en la estrategia. Esta historia sobre experiencia propia me recuerda por qué insisto tanto en mirar el negocio completo.",#historiasdenegocio #experienciaempresarial #aprendizajereal,Guarda esta historia para releerla.,Pendiente
145,2026-11-27,Viernes,21,Noviembre,IA,ChatGPT — 5 formas de usar IA en un negocio real,Carrusel,"Portada: ""5 formas de usar IA en un negocio real"". Slides 2-6: desarrollar chatgpt en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",5 formas de usar IA en un negocio real. Así uso chatgpt para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Guarda esta guía y aplícala esta semana.,Pendiente
146,2026-11-28,Sábado,21,Noviembre,Marca personal,"Valores — Tu historia también vende, si sabes contarla",Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre valores, conectando la idea con tu experiencia real y tu visión de negocio.","Tu historia también vende, si sabes contarla. Hoy quiero hablarte de valores, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Comparte si te sientes identificado/a.,Pendiente
147,2026-11-29,Domingo,21,Noviembre,Venta,"Prueba — El problema no es vender, es lo que pasa antes y después",Reel,"Gancho (0-2s): ""El problema no es vender, es lo que pasa antes y después"". Desarrollo (3-15s): Explica cómo prueba afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","El problema no es vender, es lo que pasa antes y después. Si tu negocio tiene relación con prueba, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Envíame un mensaje y lo vemos juntas.,Pendiente
148,2026-11-30,Lunes,22,Noviembre,Marketing,"Contenido — El problema no es Instagram, es tu posicionamiento",Reel,"Gancho (0-2s): ""El problema no es Instagram, es tu posicionamiento"". Desarrollo (3-15s): Explica cómo contenido afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. El problema no es Instagram, es tu posicionamiento. Todo empieza por contenido bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Guárdalo y compártelo con alguien que necesite verlo.,Pendiente
149,2026-12-01,Martes,22,Diciembre,Fiscalidad,"Autónomos — No todo gasto es deducible, y aquí empieza el problema",Carrusel,"Portada: ""No todo gasto es deducible, y aquí empieza el problema"". Slides 2-6: desarrollar autónomos en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","No todo gasto es deducible, y aquí empieza el problema. Esto pasa constantemente con autónomos, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Escribe INFO si quieres revisar tu caso.,Pendiente
150,2026-12-02,Miércoles,22,Diciembre,Mentalidad,Paciencia — La claridad también es una ventaja competitiva,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre paciencia, conectando la idea con tu experiencia real y tu visión de negocio.","La claridad también es una ventaja competitiva. Paciencia no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,¿Te identificas? Dímelo abajo.,Pendiente
151,2026-12-03,Jueves,22,Diciembre,Storytelling,"Decisión difícil — Un negocio podía crecer, pero nadie sabía que existía",Reel,"Gancho (0-2s): ""Un negocio podía crecer, pero nadie sabía que existía"". Desarrollo (3-15s): Explica cómo decisión difícil afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Un negocio podía crecer, pero nadie sabía que existía. Esta historia sobre decisión difícil me recuerda por qué insisto tanto en mirar el negocio completo.",#historiasdenegocio #experienciaempresarial #aprendizajereal,Cuéntame si te ha pasado algo similar.,Pendiente
152,2026-12-04,Viernes,22,Diciembre,IA,"Email — La IA no sustituye tu criterio, lo amplifica",Carrusel,"Portada: ""La IA no sustituye tu criterio, lo amplifica"". Slides 2-6: desarrollar email en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","La IA no sustituye tu criterio, lo amplifica. Así uso email para ganar tiempo sin perder criterio.",#inteligenciaartificial #productividad #automatizacion,Escribe IA si quieres la plantilla que uso.,Pendiente
153,2026-12-05,Sábado,22,Diciembre,Marca personal,Behind the scenes — La coherencia da más confianza que la perfección,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre behind the scenes, conectando la idea con tu experiencia real y tu visión de negocio.","La coherencia da más confianza que la perfección. Hoy quiero hablarte de behind the scenes, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Guarda esta reflexión.,Pendiente
154,2026-12-06,Domingo,22,Diciembre,Venta,Consultoría — Tu servicio puede ser bueno y aun así no venderse solo,Reel,"Gancho (0-2s): ""Tu servicio puede ser bueno y aun así no venderse solo"". Desarrollo (3-15s): Explica cómo consultoría afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Tu servicio puede ser bueno y aun así no venderse solo. Si tu negocio tiene relación con consultoría, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Escríbeme NEGOCIO y hablamos.,Pendiente
155,2026-12-07,Lunes,23,Diciembre,Marketing,"Autoridad — Si te ven pero no te escriben, esto está fallando",Reel,"Gancho (0-2s): ""Si te ven pero no te escriben, esto está fallando"". Desarrollo (3-15s): Explica cómo autoridad afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Si te ven pero no te escriben, esto está fallando. Todo empieza por autoridad bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Sígueme si quieres más sobre visibilidad.,Pendiente
156,2026-12-08,Martes,23,Diciembre,Fiscalidad,Planificación fiscal — Tener ingresos no significa estar bien gestionado,Carrusel,"Portada: ""Tener ingresos no significa estar bien gestionado"". Slides 2-6: desarrollar planificación fiscal en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Tener ingresos no significa estar bien gestionado. Esto pasa constantemente con planificación fiscal, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Compártelo con otro autónomo.,Pendiente
157,2026-12-09,Miércoles,23,Diciembre,Mentalidad,Disciplina — Emprender sin disciplina sale caro,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre disciplina, conectando la idea con tu experiencia real y tu visión de negocio.","Emprender sin disciplina sale caro. Disciplina no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Cuéntame en comentarios qué hábito te ha cambiado más.,Pendiente
158,2026-12-10,Jueves,23,Diciembre,Storytelling,Aprendizaje real — He visto empresas buenas desaparecer por esto,Reel,"Gancho (0-2s): ""He visto empresas buenas desaparecer por esto"". Desarrollo (3-15s): Explica cómo aprendizaje real afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",He visto empresas buenas desaparecer por esto. Esta historia sobre aprendizaje real me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Comparte esto con quien lo necesite escuchar.,Pendiente
159,2026-12-11,Viernes,23,Diciembre,IA,Prompts — Así ahorro tiempo sin perder calidad,Carrusel,"Portada: ""Así ahorro tiempo sin perder calidad"". Slides 2-6: desarrollar prompts en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",Así ahorro tiempo sin perder calidad. Así uso prompts para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Cuéntame qué herramienta usas tú.,Pendiente
160,2026-12-12,Sábado,23,Diciembre,Marca personal,Reflexión — Detrás del negocio también hay una forma de mirar la vida,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre reflexión, conectando la idea con tu experiencia real y tu visión de negocio.","Detrás del negocio también hay una forma de mirar la vida. Hoy quiero hablarte de reflexión, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Cuéntame tu opinión en comentarios.,Pendiente
161,2026-12-13,Domingo,23,Diciembre,Venta,Problema — Lo que te cuesta dinero no siempre se ve a simple vista,Reel,"Gancho (0-2s): ""Lo que te cuesta dinero no siempre se ve a simple vista"". Desarrollo (3-15s): Explica cómo problema afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Lo que te cuesta dinero no siempre se ve a simple vista. Si tu negocio tiene relación con problema, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Reserva tu consultoría esta semana.,Pendiente
162,2026-12-14,Lunes,24,Diciembre,Marketing,Embudo — Muchos negocios confunden contenido con estrategia,Reel,"Gancho (0-2s): ""Muchos negocios confunden contenido con estrategia"". Desarrollo (3-15s): Explica cómo embudo afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Muchos negocios confunden contenido con estrategia. Todo empieza por embudo bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Cuéntame tu caso en comentarios.,Pendiente
163,2026-12-15,Martes,24,Diciembre,Fiscalidad,Gastos deducibles — 3 errores fiscales que te hacen perder dinero,Carrusel,"Portada: ""3 errores fiscales que te hacen perder dinero"". Slides 2-6: desarrollar gastos deducibles en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","3 errores fiscales que te hacen perder dinero. Esto pasa constantemente con gastos deducibles, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Guarda este carrusel y revísalo antes de tu próxima declaración.,Pendiente
164,2026-12-16,Miércoles,24,Diciembre,Mentalidad,Orden — La motivación no sostiene un negocio,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre orden, conectando la idea con tu experiencia real y tu visión de negocio.","La motivación no sostiene un negocio. Orden no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Guárdalo para recordarlo cuando lo necesites.,Pendiente
165,2026-12-17,Jueves,24,Diciembre,Storytelling,Momento de claridad — Un cliente estuvo a punto de cerrar y el problema no era el impuesto,Reel,"Gancho (0-2s): ""Un cliente estuvo a punto de cerrar y el problema no era el impuesto"". Desarrollo (3-15s): Explica cómo momento de claridad afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",Un cliente estuvo a punto de cerrar y el problema no era el impuesto. Esta historia sobre momento de claridad me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Guarda esta historia para releerla.,Pendiente
166,2026-12-18,Viernes,24,Diciembre,IA,Productividad — La mayoría usa ChatGPT mal por este motivo,Carrusel,"Portada: ""La mayoría usa ChatGPT mal por este motivo"". Slides 2-6: desarrollar productividad en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",La mayoría usa ChatGPT mal por este motivo. Así uso productividad para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Guarda esta guía y aplícala esta semana.,Pendiente
167,2026-12-19,Sábado,24,Diciembre,Marca personal,Visión — No todo lo importante cabe en un KPI,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre visión, conectando la idea con tu experiencia real y tu visión de negocio.","No todo lo importante cabe en un KPI. Hoy quiero hablarte de visión, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Comparte si te sientes identificado/a.,Pendiente
168,2026-12-20,Domingo,24,Diciembre,Venta,Decisión — Seguir igual también tiene un precio,Reel,"Gancho (0-2s): ""Seguir igual también tiene un precio"". Desarrollo (3-15s): Explica cómo decisión afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Seguir igual también tiene un precio. Si tu negocio tiene relación con decisión, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Envíame un mensaje y lo vemos juntas.,Pendiente
